Date,SPY,XLK,XLY,XLV,XLF,XLI,XLP,XLU,XLC,XLRE,XLB,XLE
1/3/00,98.0358963,39.42749023,23.56508446,21.78907394,12.18330097,19.86574173,14.83525944,12.8486414,49.24725723,24.77722931,16.88437653,16.92977142
1/10/00,98.85567474,40.87704086,23.23979759,23.46867371,12.65442944,19.61214256,14.70211601,12.60759449,49.24725723,24.77722931,16.33662605,16.92035294
1/17/00,97.15299225,41.45685577,22.27599335,23.3544178,11.81962109,19.15776443,14.19809341,13.03125858,49.24725723,24.77722931,15.28915882,17.54214096
1/24/00,91.39366913,37.833004,20.81822968,22.12042236,11.86921501,18.2595787,13.8842783,12.35193539,49.24725723,24.77722931,14.43388271,16.0912838
1/31/00,95.91292572,41.84341049,21.63746643,23.13732719,11.94360352,18.33355331,13.8272171,12.67333317,49.24725723,24.77722931,14.40505886,15.86518002
2/7/00,93.28549194,42.03668213,20.80618286,22.41749191,11.37328339,17.22403145,13.13299942,12.26428318,49.24725723,24.77722931,13.35759068,15.50718117
2/14/00,91.01533508,41.45685577,19.27614021,20.62363625,10.71204853,17.44592857,12.95232201,11.67991638,49.24725723,24.77722931,13.38642216,15.98765564
2/21/00,89.68057251,42.73728943,18.72195435,19.99522018,10.48061562,17.1289196,12.29614449,10.95676804,49.24725723,24.77722931,12.95398521,14.96075249
2/28/00,94.92498016,45.28606796,19.91466522,20.94356346,11.07572651,17.81577301,12.33418274,12.26428318,49.24725723,24.77722931,12.89631557,16.20433235
3/6/00,94.25233459,46.19202042,19.25204468,20.34942055,10.60459328,17.43536568,11.91575623,11.95749283,49.24725723,24.77722931,12.53115368,16.73192215
3/13/00,98.8345871,46.28866577,21.79409218,21.43487358,12.25768566,18.661129,12.8381958,12.45420456,49.24725723,24.77722931,13.53056622,16.75076294
3/20/00,103.5533066,49.46557236,21.90903091,22.82882881,13.20691013,19.68436813,12.56457901,12.21588516,49.24725723,24.77722931,13.88055325,16.95812798
3/27/00,101.4038391,46.8201561,22.60915184,22.42892265,12.88337135,19.79026413,12.95573139,12.59118748,49.24725723,24.77722931,14.20805168,17.73324966
4/3/00,102.1203537,46.8201561,23.27306557,22.4974823,12.74234581,20.04438782,13.31826305,13.06216526,49.24725723,24.77722931,14.1020956,17.4591217
4/10/00,91.71025085,38.26786804,21.63139343,20.2694416,11.92935371,18.69961739,13.2705698,13.0106554,49.24725723,24.77722931,13.94797516,17.24171638
4/17/00,96.97853851,40.87704086,22.5729351,21.64053345,12.57642937,19.46199608,13.89067936,13.0106554,49.24725723,24.77722931,13.87090969,17.30788422
4/24/00,97.84251404,42.51985168,22.13838196,22.16613197,13.00781345,20.07614517,13.64264202,13.41539764,49.24725723,24.77722931,13.73605633,17.46857452
5/1/00,96.78888702,41.29982758,21.49860764,21.09210205,12.26118469,20.03378868,14.17689323,12.98121548,49.24725723,24.77722931,14.04429817,18.18697929
5/8/00,96.30417633,38.75104904,22.16251564,21.29776573,12.6427927,20.39381599,14.23413467,13.26085663,49.24725723,24.77722931,14.27547836,19.1227951
5/15/00,95.16625977,37.54310608,21.74002838,21.09210205,12.8418951,20.11850739,14.64437485,13.11367702,49.24725723,24.77722931,14.33327293,19.24567795
5/22/00,93.0588913,36.48010635,20.30357361,20.49795532,12.87507248,19.5043602,14.84471798,13.21670341,49.24725723,24.77722931,13.27370071,18.68796921
5/29/00,99.69696045,41.62597275,21.67967415,21.96046257,14.30195332,20.29850769,14.14827347,13.4374733,49.24725723,24.77722931,13.56267166,18.67852211
6/5/00,98.85400391,41.84341049,20.32771492,21.80050659,13.40600681,19.77966881,14.49172211,13.73918343,49.24725723,24.77722931,13.13883972,18.85812759
6/12/00,98.85400391,42.03668213,19.96557617,22.02901459,12.74234581,19.64200783,14.78747368,13.58465195,49.24725723,24.77722931,13.17737103,19.20787239
6/19/00,97.58707428,41.61389542,19.44744873,21.57199287,12.75307465,18.73828697,14.72600555,13.7617197,49.24725723,24.77722931,12.53282547,19.1013031
6/26/00,98.19960022,41.89173126,19.81026077,21.61768341,12.65318012,19.2051506,15.44318962,12.93127537,49.24725723,24.77722931,12.16506195,18.44590378
7/3/00,100.100647,42.13332367,21.45507813,21.84620285,13.35243893,19.33247375,15.42405605,13.59118557,49.24725723,24.77722931,12.1747427,18.05647659
7/10/00,102.234108,44.01771927,21.84209442,22.23468208,13.73535633,20.16010094,14.85988235,13.39840031,49.24725723,24.77722931,12.82315826,18.23694038
7/17/00,99.82608795,42.47153091,21.38250732,21.54912567,13.75201035,20.37230301,14.76425648,13.28718376,49.24725723,24.77722931,12.38766098,17.5910511
7/24/00,96.04512024,38.87184906,20.53592682,21.09210205,13.5355711,19.2051506,15.04156399,13.09439659,49.24725723,24.77722931,12.21345615,17.85700798
7/31/00,98.93893433,39.78989029,20.23356247,22.1318512,14.75926208,19.84178543,15.33799744,13.59118557,49.24725723,24.77722931,12.37797546,18.23694038
8/7/00,99.63594818,40.10395432,20.70523643,22.00616455,14.84251499,20.96649933,14.95550919,13.42805958,49.24725723,24.77722931,13.00704384,18.99680328
8/14/00,101.1779251,41.89173126,20.24565887,22.02901459,14.66770077,20.86040688,14.85988235,13.30200768,49.24725723,24.77722931,12.8812294,19.68070221
8/21/00,102.234108,42.74936295,20.2093792,22.15469933,14.52618122,21.32726669,15.01286983,13.28718376,49.24725723,24.77722931,12.58121872,19.83267403
8/28/00,103.0790024,43.72780991,19.67722702,22.02901459,14.91742706,21.62435913,14.61125755,13.80621815,49.24725723,24.77722931,12.42636776,19.88016129
9/4/00,101.2624054,40.97367859,20.37869835,21.34346581,15.43354607,21.34848976,14.50607204,14.47353268,49.24725723,24.77722931,12.05861092,19.98464775
9/11/00,98.68540955,39.24631882,20.40289116,21.32062149,15.25873756,20.62697411,14.4582634,14.48836708,49.24725723,24.77722931,11.38115788,20.63053513
9/18/00,98.44631958,38.07460022,19.8958168,20.74932861,15.01262474,20.23636246,15.31955147,14.48896694,49.24725723,24.77722931,10.90305614,19.5273037
9/25/00,97.32402039,35.85195541,19.31385612,21.25206184,15.49689865,20.81089211,15.34834671,15.44592571,49.24725723,24.77722931,11.32165527,20.00427818
10/2/00,95.58758545,34.34203339,18.63489532,21.45772362,14.99591923,20.5981102,15.46353054,15.40106201,49.24725723,24.77722931,11.56502533,19.68946648
10/9/00,93.21592712,33.5810318,17.31337166,20.48652649,14.22774506,20.23636246,15.50193501,15.14687538,49.24725723,24.77722931,10.88358974,20.14736748
10/16/00,94.80410004,35.00640488,17.84682083,20.24658966,14.51163387,20.04486084,15.66510487,15.15434933,49.24725723,24.77722931,10.73756599,20.18552971
10/23/00,94.38056946,32.74753571,17.8104496,20.69219971,14.70368576,20.31084061,16.09704781,15.61040783,49.24725723,24.77722931,11.3313942,19.00262642
