Headquarters Location - Split 1,Headquarters Location - Split 2,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Weight,Price,Chg,% Chg,State,Abbrev,Code,Weight_rank
Chicago,Illinois,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696,1998,0.039342,   48.00,-1.2,(-2.44%),Illinois,Ill.,IL,393
Reston,Virginia,LDOS,Leidos Holdings,Industrials,Diversified Support Services,"Reston, Virginia",8/9/19,1336920,1969,0.039328,   101.47,-3.21,(-3.07%),Virginia,Va.,VA,394
Houston,Texas,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,1997,0.039279,   93.52,-5.07,(-5.14%),Texas,Tex.,TX,395
Kenosha,Wisconsin,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/82,91440,1920,0.03906,   245.48,-5.54,(-2.21%),Wisconsin,Wis.,WI,396
Highlands Ranch,Colorado,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,1972,0.039048,   44.84,-1.28,(-2.78%),Colorado,Colo.,CO,397
Raleigh,North Carolina,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/15,1158449,1932,0.038561,   201.79,-2.42,(-1.19%),North Carolina,N.C.,NC,398
Kirkland,Washington,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2/12/21,1280452,1997,0.038558,   306.80,-13.61,(-4.25%),Washington,Wash.,WA,399
Eden Prairie,Minnesota,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,1905,0.038417,   97.15,-1.94,(-1.96%),Minnesota,Minn.,MN,400
Boston,Massachusetts,PTC,PTC Inc,Information Technology,Application Software,"Boston, Massachusetts",4/20/21,857005,1985,0.038304,   125.30,-4.86,(-3.73%),Massachusetts,Mass.,MA,401
Fort Worth,Texas,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934,0.038201,   20.45,-1.12,(-5.19%),Texas,Tex.,TX,402
Houston,Texas,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,1882,0.037936,   23.65,-0.31,(-1.29%),Texas,Tex.,TX,403
Austin,Minnesota,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,48465,1891,0.037705,   46.88,-0.34,(-0.72%),Minnesota,Minn.,MN,404
Calhoun,Georgia,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/13,851968,1878,0.037705,   209.49,-9.98,(-4.55%),Georgia,Ga.,GA,405
New York,New York,L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,60086,1959,0.037418,   56.66,-1.05,(-1.82%),New York,N.Y.,NY,406
Paradise,Nevada,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,2002,0.03733,   123.47,-1.53,(-1.22%),Nevada,Nev.,NV,407
New York,New York,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017,0.03686,   44.74,-1.77,(-3.81%),New York,N.Y.,NY,408
Dallas,Texas,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906,0.036786,   99.25,-2.06,(-2.03%),Texas,Tex.,TX,409
Hercules,California,BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/20,12208,1952,0.036696,   583.89,-12.49,(-2.09%),California,Calif.,CA,410
New York,New York,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York, New York",7/1/13,1754301,2019,0.036638,   37.98,-0.53,(-1.36%),New York,N.Y.,NY,411
New York,New York,IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",10/1/92,51644,1930,0.036145,   31.53,-0.86,(-2.66%),New York,N.Y.,NY,412
Danvers,Massachusetts,ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,815094,1981,0.036091,   274.00,-6.3,(-2.25%),Massachusetts,Mass.,MA,413
Pittsburgh,Pennsylvania,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/31/64,4281,2016,0.035881,   31.88,-0.52,(-1.60%),Pennsylvania,Pa.,PA,414
Pawtucket,Rhode Island,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/84,46080,1923,0.035824,   94.76,-3.45,(-3.51%),Rhode Island,R.I.,RI,415
Auburn Hills,Michigan,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,1880,0.035693,   49.75,-1.9,(-3.68%),Michigan,Mich.,MI,416
Radnor,Pennsylvania,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558,1905,0.035319,   66.69,-1.42,(-2.08%),Pennsylvania,Pa.,PA,417
