Date,SPY,XLK,XLY,XLV,XLF,XLI,XLP,XLU,XLC,XLRE,XLB,XLE
2000-01-03,98.03589630126953,39.40188980102539,23.56508445739746,21.789073944091797,12.183300971984863,19.865741729736328,14.835259437561035,12.848641395568848,,,16.884305953979492,16.929771423339844
2000-01-10,98.85567474365234,40.850494384765625,23.239797592163086,23.468673706054688,12.65442943572998,19.61214256286621,14.702116012573242,12.60759449005127,,,16.3365535736084,16.920352935791016
2000-01-17,97.15299224853516,41.429931640625,22.27599334716797,23.35441780090332,11.819621086120605,19.157764434814453,14.19809341430664,13.031258583068848,,,15.289085388183594,17.54214096069336
2000-01-24,91.39366912841797,37.80842590332031,20.81822967529297,22.12042236328125,11.86921501159668,18.259578704833984,13.884278297424316,12.351935386657715,,,14.433816909790039,16.091283798217773
2000-01-31,95.91292572021484,41.816226959228516,21.637466430664062,23.137327194213867,11.943603515625,18.333553314208984,13.827217102050781,12.673333168029785,,,14.40499496459961,15.865180015563965
2000-02-07,93.28549194335938,42.009376525878906,20.806182861328125,22.417491912841797,11.373283386230469,17.224031448364258,13.132999420166016,12.264283180236816,,,13.35753059387207,15.507181167602539
2000-02-14,91.01533508300781,41.429931640625,19.276140213012695,20.62363624572754,10.712048530578613,17.4459285736084,12.952322006225586,11.679916381835938,,,13.386362075805664,15.987655639648438
2000-02-21,89.68057250976562,42.70952606201172,18.721954345703125,19.995220184326172,10.480615615844727,17.12891960144043,12.296144485473633,10.956768035888672,,,12.95393180847168,14.960752487182617
2000-02-28,94.92498016357422,45.256649017333984,19.91466522216797,20.94356346130371,11.075726509094238,17.815773010253906,12.334182739257812,12.264283180236816,,,12.896260261535645,16.20433235168457
2000-03-06,94.25233459472656,46.16201400756836,19.252044677734375,20.34942054748535,10.604593276977539,17.435365676879883,11.915756225585938,11.95749282836914,,,12.531097412109375,16.731922149658203
2000-03-13,98.83458709716797,46.25859451293945,21.794092178344727,21.434873580932617,12.257685661315918,18.661128997802734,12.83819580078125,12.454204559326172,,,13.530503273010254,16.750762939453125
2000-03-20,103.55330657958984,49.433441162109375,21.90903091430664,22.828828811645508,13.206910133361816,19.684368133544922,12.564579010009766,12.215885162353516,,,13.880488395690918,16.958127975463867
2000-03-27,101.40383911132812,46.78974914550781,22.60915184020996,22.428922653198242,12.883371353149414,19.790264129638672,12.955731391906738,12.591187477111816,,,14.207987785339355,17.73324966430664
2000-04-03,102.12035369873047,46.78974914550781,23.2730655670166,22.497482299804688,12.742345809936523,20.044387817382812,13.318263053894043,13.062165260314941,,,14.102028846740723,17.459121704101562
2000-04-10,91.71025085449219,38.24300765991211,21.631393432617188,20.269441604614258,11.929353713989258,18.699617385864258,13.270569801330566,13.010655403137207,,,13.947909355163574,17.241716384887695
2000-04-17,96.9785385131836,40.850494384765625,22.572935104370117,21.640533447265625,12.57642936706543,19.46199607849121,13.890679359436035,13.010655403137207,,,13.870848655700684,17.307884216308594
2000-04-24,97.84251403808594,42.49223709106445,22.138381958007812,22.1661319732666,13.007813453674316,20.07614517211914,13.6426420211792,13.415397644042969,,,13.73599624633789,17.46857452392578
2000-05-01,96.78888702392578,41.27300262451172,21.498607635498047,21.09210205078125,12.261184692382812,20.033788681030273,14.17689323425293,12.981215476989746,,,14.044232368469238,18.186979293823242
2000-05-08,96.3041763305664,38.72587203979492,22.16251564025879,21.297765731811523,12.642792701721191,20.393815994262695,14.234134674072266,13.260856628417969,,,14.275415420532227,19.12279510498047
2000-05-15,95.166259765625,37.518714904785156,21.740028381347656,21.09210205078125,12.84189510345459,20.118507385253906,14.64437484741211,13.113677024841309,,,14.333208084106445,19.245677947998047
2000-05-22,93.05889129638672,36.45641326904297,20.303573608398438,20.497955322265625,12.875072479248047,19.50436019897461,14.844717979431152,13.216703414916992,,,13.273643493652344,18.687969207763672
2000-05-29,99.69696044921875,41.59894561767578,21.67967414855957,21.96046257019043,14.301953315734863,20.298507690429688,14.148273468017578,13.43747329711914,,,13.562607765197754,18.67852210998535
2000-06-05,98.85400390625,41.816226959228516,20.327714920043945,21.800506591796875,13.406006813049316,19.7796688079834,14.491722106933594,13.73918342590332,,,13.138779640197754,18.85812759399414
2000-06-12,98.85400390625,42.009376525878906,19.965576171875,22.029014587402344,12.742345809936523,19.64200782775879,14.787473678588867,13.584651947021484,,,13.177311897277832,19.20787239074707
2000-06-19,97.58707427978516,41.58686447143555,19.44744873046875,21.571992874145508,12.753074645996094,18.7382869720459,14.726005554199219,13.761719703674316,,,12.532770156860352,19.101303100585938
2000-06-26,98.19960021972656,41.86452102661133,19.810260772705078,21.61768341064453,12.653180122375488,19.205150604248047,15.44318962097168,12.931275367736816,,,12.165006637573242,18.445903778076172
2000-07-03,100.10064697265625,42.1059455871582,21.455078125,21.846202850341797,13.352438926696777,19.332473754882812,15.424056053161621,13.591185569763184,,,12.174688339233398,18.056476593017578
2000-07-10,102.2341079711914,43.9891242980957,21.84209442138672,22.234682083129883,13.735356330871582,20.16010093688965,14.859882354736328,13.39840030670166,,,12.823097229003906,18.236940383911133
2000-07-17,99.82608795166016,42.443946838378906,21.38250732421875,21.54912567138672,13.752010345458984,20.372303009033203,14.764256477355957,13.28718376159668,,,12.387602806091309,17.59105110168457
2000-07-24,96.04512023925781,38.84659957885742,20.535926818847656,21.09210205078125,13.535571098327637,19.205150604248047,15.041563987731934,13.094396591186523,,,12.213397026062012,17.85700798034668
